,audio_no,chunk_id,chunk_path,transcription
0,278,0,./audio_chunks/audio_278_chunk_0.mp3," We are here to share our experiences with you about the 4 parts of the country that we are a part of. But today we are introducing you to a different kind of farmer. Yes, they have grown their small land to a new size and have built a new farm. They have inspired many farmers. Our Karnataka is a famous country for its home and land. We are here to share our experiences with you."
1,278,1,./audio_chunks/audio_278_chunk_1.mp3," We should be strong. At first, the farmers of Sri Gandha were not able to grow crops in their land. But, even then, there was no problem. The government was promoting the cultivation of these crops. Thus, from the last few years, the cultivation of these crops has been started in various parts of the state. Since the days that have passed, many farmers have grown from these crops. In the small country, Kolarajiliya, Kailasime, Gopalakrishnan, Sri Gandha was established in 12 acres."
2,278,2,./audio_chunks/audio_278_chunk_2.mp3," The Raita Rao of Suttamuttala has been separated. Here you are watching the village of Arahalli in Kolara Taluk, Gopalakrishna's garden. Shree Gandhada's farm has been here for about 6 years. There are about 2,000 trees here. To fill the water, the Raita has been watering the rice fields. Shree Gandhada's farm is a parallel one. Raita Gopalakrishna says that the rice fields have been mixed with water."
3,278,3,./audio_chunks/audio_278_chunk_3.mp3," In the village of Arelli, in survey number 59, I have planted 12 acres of Sri Ganda. When we plant Sri Ganda, we have to make sure that it is in good condition. Because this Ganda has no water, no coconut, no other nutrients. That is why we have planted Ganda along with the Mavan Gida. This Ganda needs water for two years to get dried."
4,278,4,./audio_chunks/audio_278_chunk_4.mp3," we have done this pruning because the plant has developed a bit we don't prune from the bottom, we only take 3 feet from the bottom we leave everything on top it has been 6 years since we planted it it has not grown much it grows slowly because the department has been doing this for 10-12 years"
5,278,5,./audio_chunks/audio_278_chunk_5.mp3," you will start smelling according to me, it will take 20 years it has been 6 years since I started seeing me all the farmers have started to smell in the maaviyam thottas they are preparing everything to make the smell now 50-100 people have started in the afternoon we are growing in the afternoon we grow flour we have planted tomatoes this is for them"
6,278,6,./audio_chunks/audio_278_chunk_6.mp3," beans, papaya, all kinds of fruits and have been earning from these for the last 6 years we have been getting the flour from the market Sri Gandha is a very strong tree the farmer who grows it is very scared for 15 to 20 years the trees that are grown by nourishing them will be the source of economic loss for the next generation"
7,278,7,./audio_chunks/audio_278_chunk_7.mp3," but there is no time and work so Gopalakrishna's opinion is that government should think about the protection of Shree Gandha trees today if we say Gandha, everyone will get scared why? if we say Gandha, they will be arrested in DC office, in government buildings, in parashits we will get scared how you will improve"
8,278,8,./audio_chunks/audio_278_chunk_8.mp3," But we have made it. To make it for pensive use. Pensive use is very expensive. That is why we have asked the government. You have to give subsidy for pensive use. If we give subsidy, After 8-9 years, We have to keep it for protection. From the perspective of saving it. We have made it. This is Maratha soap factory. In Mysore soap factory,"
9,278,9,./audio_chunks/audio_278_chunk_9.mp3, there is a factory in bengaluru they will make an agreement for that rate we will purchase and they will make an agreement but i have not made any agreement why this gandhidu kurshi is beneficial to the farmers because today the rates are like tomatoes so farmers are struggling because today they are getting the rate
10,278,10,./audio_chunks/audio_278_chunk_10.mp3," so that the project pursuit Following the seems to be of scientific background, country level of innocuous Shri Gandhada Sasyakalanda Natu"
11,278,11,./audio_chunks/audio_278_chunk_11.mp3,
12,278,12,./audio_chunks/audio_278_chunk_12.mp3," The forest has no tension and the forest is easy to grow. This is why the gardeners and the forest department are supporting the forest. Initially, the forest was only used for growing trees. But since 2001, the government has given the forest to the house. The law has also allowed the land to grow in the forest. In this country, the forest is about 1000 acres."
13,278,13,./audio_chunks/audio_278_chunk_13.mp3,
14,278,14,./audio_chunks/audio_278_chunk_14.mp3," We are promoting this program called National Ayush Mission from our department. It is legalized in Srikanta Beledi. Any farmer can grow his own land in Srikanta Beledi. There is no other possibility. Now this has been legalized. We are providing help to farmers in Srikanta Beledi to promote the two farms in forest department and garden. We are promoting it internally. All the farms are growing. From last 3 years, 40 hectares of Srikanta Beledi has been grown."
15,278,15,./audio_chunks/audio_278_chunk_15.mp3," The monocrop is not growing, but the intercrop is growing. The mawa, seabed and sapota are growing here. For the first year of Shree Gandha's growth, we give 40,000 rupees per hectare. For the second year, we give 10,000 rupees per hectare. In the next two years, they will get 50,000 rupees. Planting materials, nutrients, and other things are not much. Shree Gandha's seedlings are available in the forest department. In our area, we get only Huli mawa."
16,278,16,./audio_chunks/audio_278_chunk_16.mp3," So, we have to take the land from the recognized farms or forest department Before taking the land, if we need help from our department, they have to register it We have two websites named Fruits and Hasiru, they have to register the farm there We issue a work order to them, after that they can take the seedlings from NHP accredited or forest department and take it back to their land So, next process is"
17,278,17,./audio_chunks/audio_278_chunk_17.mp3," We will make sure that the application is done successfully and we will submit the required documents. We will deposit the subsidies through RTGS to their account. It is very simple. As simple as in other departments or schemes, it is very simple to grow and get benefits from the department. In Kolharajili, the majority of the population is of the rice, tomato, maavu, potato and other types of crops. There are several differences in Neelagiri."
18,278,18,./audio_chunks/audio_278_chunk_18.mp3," But instead these observation plants have great value, due to the меньше greatest investment rate that can be made and maximum price which can be reduced to Rsive 100 for the HYPER damage. or getting help from trying to rob companies,"
19,278,19,./audio_chunks/audio_278_chunk_19.mp3," ladoa karathitinga garuta suola, you may promote our website, in the name of the Fatherland and Shri Gandhi under his name hasき ل dots nani haski there domovave Ph hungry isa we status ha addresses which we post here available on di lion now i can't pickles robert wow funny other here hold p fundamental for S 박 ha"
20,278,20,./audio_chunks/audio_278_chunk_20.mp3, I would like to say that we can grow it but we need to be cautious We will plant it in a very complete way It would be better if we plant it in a 10 feet space We will plant it in a 15 feet space We are planting it in the middle of the maunum garden Some people are planting it in the middle of the hebbayu Some people are planting it in the middle of the hebbayu
21,278,21,./audio_chunks/audio_278_chunk_21.mp3, and other horticulture species they are growing among those because of the environmental issues they are growing with other species the land now directly soap and detergent for the use of soap or for handicrafts it is possible to directly change it now so it is a little uncool for the land to change
22,278,22,./audio_chunks/audio_278_chunk_22.mp3," If we want to change this, we can give it to Shree Ganda Dipo according to the standard rates. Since Chippalvada school is being used in the Halwara region, within 2-3 years, we can get a good protection system. I think Chippalvada will be able to provide good support to the people. For me, Chippalvada is a great opportunity."
23,278,23,./audio_chunks/audio_278_chunk_23.mp3, which .... alive tree .. Azadi Technology which .... live tree works & prevents massive exposure to Kolharad
24,278,24,./audio_chunks/audio_278_chunk_24.mp3, Want AWARE of landmines plantation collection? 2021 How to Locate Wetes? Plantation Christmas tree The government also has summoned the counterpart for the CHRISTMAS seasonal Christmas tree. This is a proof that none of the 2019 Christmas trees do not stretch and are not eaten by predators.
25,278,25,./audio_chunks/audio_278_chunk_25.mp3," At objet terminal physical testing As long as rain stops, people are unable to survive Poor farming, poor transportation Intestinal conditions and lower food prices The dalej homeland of the Hindu state is yesterday's Aisha."
26,278,26,./audio_chunks/audio_278_chunk_26.mp3," In the same year, Chikkabasuru village of Arvind Lingadhali also joined the Havere district's Veda Geetalok. For the last 6 years, they have been cultivating land in 6 acres. They are able to cultivate about 50 to 300 acres of land per acre. The water supply system was also improved. The company also started providing nutrition to the farmers. The land was also developed successfully. The land is now available to the farmers."
27,278,27,./audio_chunks/audio_278_chunk_27.mp3," If you add soil, they both separate them and both grow together evenly. Taaarai heated At our government level idag, we latch on to bamboo sling from bottom to top, We purchase completely from<|ru|> Barem Chrishan will call first of all for a"
28,278,28,./audio_chunks/audio_278_chunk_28.mp3, I have made a drip system for the water in the bottom of the pond. It is called the loop system method. I have made a dripper around the pond and made a water system for it. Gopal sir charges the potash and the oxygen and the potash. He says that we need this much amount of oxygen and potash for each month. We give the potash to the land where there is no water. We give it to the land where there is less water and we give it to the land where there is less water. We give it to the land where there is less water and we give it to the land where there is less water.
29,278,29,./audio_chunks/audio_278_chunk_29.mp3," The water supply system will be developed to benefit this area. The project will start after 3 years but it will take 8 years for the economic development. Arvind Linga has been developing since the last 3 years. Currently, he is building a 4-tonne plot of land for the company every month. He is earning around Rs. 40,000 from the previous 35 years."
30,278,30,./audio_chunks/audio_278_chunk_30.mp3," Sir, this is based on our work. The reason why we have done this is because we have cut the land for 3 years. The land was cut from 2007. But actually, it was recommended to cut the land after 3 years. But in our case, the land was cut after 7 years. So, we cut the land for 3 years. What is there in this? The land we have installed in Taliaveli, if the land is cut after 3 years, then you can cut the land for 3 to 5 years continuously. This is the reason."
31,278,31,./audio_chunks/audio_278_chunk_31.mp3, The actual cost is less. We have to cut the labor for the factory. This is the farm of Arvand Lingadhali. He has been growing this farm for the past 7 years. He has grown 30-40 tons of this farm. We have come to know the importance of this farm.
32,278,32,./audio_chunks/audio_278_chunk_32.mp3," I was given a bad guidance that if you grow long term crops, you will not be able to grow well every year. So I planted three acres of land. After that I planted three acres of land. Now I too have started to give money to the landowner. I have been giving money for one or two tons since three years. Land farming was a central government project and this was established through the landowner's region. Road Tonight"
33,278,33,./audio_chunks/audio_278_chunk_33.mp3," The company was not able to pay the interest due to the lack of funds. The company was not able to pay the interest due to the lack of funds. Arvind Linga, who has been a farmer for 6 years, has been a good and well-off person in the last few years. To be continued…"
